comments,0/1
"Hand-held shakey camera rubbish A big monster attacks a city, so a guy and his friends set out to save his gal and escape the carnage. Ancient story, yes, but with a new lease of life in the form of a Blair Witch Project-type perspective (hand-held shaky camera).  The movie starts in a city centre apartment during a party where all of the main characters are celebrating the lead actors new job in Japan. These main characters happen to be a bunch of twenty-something, good looking, loud, irritating New Yorkers who I did not care about in the least. The festivities are rudely interrupted when something explodes nearby and decapitates the Statue of Liberty. The said main characters set out on their rescue mission while avoiding the Army and a giant Godzilla like Alien.<br /><br />Stripped of conventional editing and music, in this movie experiment we have 90 minutes of shaky camera work though which we view the goings on. This is like watching a movie from the comfort of your washing machine in the middle of a 40 degree cycle. It is a nauseating experience.<br /><br />The movie itself is not good as I felt no compassion whatsoever for the main characters. They are archetypal and there is no character depth. We don't know what these characters are like, so we don't really care for them. In fact I was hoping they would all get munched by the Alien. I felt no hatred for the Alien as we only caught a few sightings of it (a fleeting leg here, a tail there, full length on News footage), and ultimately the movie is an empty experience. Cloverfield never explains its monsters arrival. In fact, the monster is a minor character; this movie is all about five annoying New Yorkers running around a ground zero type area with a camera.<br /><br />The only scary scene is when the heroes are trapped in a tunnel (Underground subway) and they are chased by baby aliens. Clearly, the director was watching the Vin Diesel masterpiece - Pitch Black- and used the exact same creatures in the same circumstances- under the cover of darkness. Total rip off.<br /><br />For me cinema is all about mellifluous dialogue, intricate framing, a good soundtrack and good acting on top of a great story. This movie experiment failed on all counts. It made me feel nauseous with its shaky camera work and poor story line. Disappointing.al rip off.      For me cinema is all about mellifluous dialogue, intricate framing, a good soundtrack and good acting on top of a great story. This movie experiment failed on all counts. It made me feel nauseous with its shaky camera work and poor story line. Disappointing.",0
Fantastic Film is great especially with the original ending. and delivery was quick and efficient :),1
"Love,it! Love this,game",1
Five Stars Great book recommend to anyone,1
Four Stars Really made a difference to what I was trying to complete.,1
Five Stars beautiful cd i would recomened,1
Worth alook Not as good as I had hoped for.,0
"A disappointingly flat album, that doesn't take off I was hostile to Muse when this album came out and most of my friends were raving about it, and looking back, I remember why I was hostile. As much as I tried to like Muse, I just couldn't. Perhaps it was a naff album to try and get into for Muse, but it's a boring, flat album that just doesn't take off. All of the songs are unmemorable, disappointing, and like the Queen comments, when you look into it really deeply you will be surprised of how much they are alike.   Give credit to Muse though, they must be doing very successful at pulling in the thousands of loyal fans - But I just don't get what the hype is about. If the Glastonbury performances are anything to go by, they put on some great shows but most of this album seems like nothing but filler. It's song varies too widely to be able to define it as an album. It just isn't captivating enough to say I enjoy the album.   Matt Bellamy seems to polarise people as well. I enjoy synth music as much as the next person - And Kraftwerk, Jean Michel Jarre, Tangerine Dream... All great music makers. But why? There were no vocals, and especially no Matt Bellamy warbling on, distracting the attention away from the music itself.",0
"Bones and Booth, happy families? Bones and Booth settling into 'happy families' was a bit of a different style to what 'Bones' followers have been used. Still fascinating insight into Forensic goings on supposedly at the Jeffersonian makes up for the new domesticated Bones and Booth. Whilst its supposed to reflect real life its obviously not going to be to everyone's taste and would not be a good idea if this formula was continued in later series and could lose fans ultimately. Bring back Zack and pit him and Hoskins together again would also boost what now is looking like scriptwriters stuck for ideas.",0
Best Booko Ever Best book ever! I loved reading it. It changed the way I think.,1
One Star FAKE Y,0
wow Addicted! Love this game,1
Five Stars great film thanks,1
"Wow, there is madness in this world. This book is about it. If you want to know about North Korea and its regime then this is definitely a book that will fill you with lots of information. It is a tragic story.",1
Four Stars Excellent,1
"Good album but I already know all the best songs on it I know Genesis primarily through their excellent 3CD Best Of called The Platinum Collection.  I have since heard Trespass, Foxtrot, A Trick of the Tail, Duke and We Can't Dance.  So far I have been disappointed by the albums.  I have yet to find a song that didn't make it onto The Platinum Collection that's above okay.      In my experience the albums are fairly weak and that all the good stuff has been collected on The Platinum Collection.  If you don't already own it then the albums might satisfy you a lot more.  Nothing great appears to have been left behind.  And the albums are not as conceptually tight and of one whole piece as I expected.      1. \\""""Behind the Lines\\"""" - 5:31 (5 out of 5 stars)  Tuneful rocker with good lyrics and punchy drums.    2. \\""""Duchess\\"""" - 6:26 (5 stars)  A great and easily digested extended prog track.  It sounds like a straight forward song but still distinctly prog.    3. \\""""Guide Vocal\\"""" - (Banks) 1:35 (1 star)  Bland short song fragment.  Filler that says less than the band thinks it does.    4. \\""""Man of Our Times\\"""" (Rutherford) - 5:34 (2 stars)  Awkward, messy sounding song that just doesn't sound right.    5. \\""""Misunderstanding\\"""" (Collins) - 3:13 (5 stars)  Nice heartfelt song.    6. \\""""Heathaze\\"""" (Banks) - 4:59 (3 stars)  Too slow and subdued for my tastes, but it has some brief loud sections that sound great.  Lyrics are interesting during the second half.    7. \\""""Turn It On Again\\"""" - 3:50 (5 stars)  Loud straight forward rocker.  Lyrically of no great substance but better than what most bands usually come up with when doing simple songs.  A song of considerable craftsmanship.    8. \\""""Alone Tonight\\"""" (Rutherford) - 3:56 (2 stars)  Slow ballad that opens into something big and slightly bloated.  A bit boring.  Competent but banal and trite.  If I was to never hear it again I wouldn't be bothered.    9. \\""""Cul-de-sac\\"""" (Banks) - 5:05 (3 stars)  Starts great with big symphonic drums and lyrics about armies.  Unfortunately it fails to deliver on its opening promise.    10. \\""""Please Don't Ask\\"""" (Collins) - 4:01(3 stars)  Okay and melodic but unremarkable.  Nothing wrong with it, just a bit bland.    11. \\""""Duke's Travels\\"""" - 8:40 (3 stars)  Eventful near instrumental (vocals only start 6 minutes in) that rocks out.  Clearly an important track but it feels a bit like filler to me.    \\""""Duke's End\\"""" - 2:08 (4 stars)  Short instrumental hard rock reprise of the opening track \\""""Behind the Lines\\"""".      Duke is a solid 55 minute album.  It has four great songs (\\""""Turn It On Again\\"""", \\""""Behind the Lines\\"""", \\""""Duchess\\"""" and \\""""Misunderstanding\\"""") that are already available on the Best Of and it has some weaker tracks that range from rubbish to okay.  If you don't have The Platinum Collection then put the overall score up to four stars.  If you do have it, and listen to it quite a lot, then I don't think this album has much to offer.",0
calculater very handy and cos of its full screen ap it is very easy to use and always handy when you require a calculater.,0
Five Stars Brilliany,1
great it was an excerlant read cant wait for the next one if there is a next one x,1
Five Stars good,1
"Bond is falling, but not fallen Honestly, this is not bad - it's not great either, but it's not terrible.<br /><br />The good things? Great opening credits, a sensible plot that has pace, all the major plots are resolved neatly.<br /><br />The bad things? I struggled with the lack of tension. There were no great reveals or surprise twists.<br /><br />The story itself had been done before with Golden Eye (rogue MI6 agent perceives betrayal and takes on the establishment before Bond takes him out). The chase scene a the beginning, although impressive, was too similar to that in Quantum of Solace only taken a bit further.<br /><br />This is not the worst Bond by a long way, but I feel I'm being generous by giving it 3/5",0
"Behind his time possibly? In trying to stay \\""""with it\\"""" has he made a boring album? Well maybe, but it does still have the \\""""Todd\\"""" sound in here. His fans I'm sure will think he can do no wrong and possibly he can't, but this does boarder on weak, although the songs do have a strong feel to them.<br />The rhythm machine is in full swing with many electronic appliances in evidence, plus authentic instruments as well, of course. This is not to say it's a bad thing as they suit the music. But at times it actually lingers in the eighties electric movement.<br />I have to say that I've aways loved to move within music and I had hope Todd Rundgren's new release would have done the same, but alas it falls well short in my book.<br /><br />There is a great DVD that comes with this release, some may say self indulgent, but I think he has enough fans to really appreciate this. It is fun and has a relaxing feel, with a gig at a small club type venue, concluding with a pleasant interview at the end.<br /><br />I still like his attitude to life and his lyrical content is as always on the money, (hippieisam lives here, just), but he seems lost in his musical direction unless you yourself are still there with him, in which case you may still like this project as it does have merit.",0
Awesome LEGENDARY FIFA GAME,1
"Five Stars Probably one of thier best - sad in places, funny most of the time and the music is fab.",1
4star job Best game ever.,1
good Good game enjoyin it,1
"arrived in good time, he loves the book Purchased for my grandson,arrived in good time,he loves the book, satisfied customer.",1
Idiotic I tried to listen to music and I got fart noises!!<br />I would love this app if it was SHUT DOWN!!<br />What kind of idiots made this?!,0
Two Stars Needs to have a minimise icon for directions.,0
"PS - I hated it.................Sentimental drivel ! Due to all the hype - I just had to read this book and boy, was it an effort. Think 'Chicken soup for the soul' meets 'Highway to Heaven' meets badly written chic-lit and you've got 'PS-I love you'. Fair play to the young Writer - she must have some talent as the book is selling well - Having struggled through it though, I don't know why? Anyone laughing or weeping whilst reading this drivel is either demented or has a lot of 'issues'  <br />I'm sure it will sell well in the USA - they like this sentimental, touchy/feely krud. My copy now resides in my bathroom. There, it serves some use - I can just about bring myself to wipe with it.  Not worth the money and doesn't live up the hype. <br />Buy toilet roll instead - Its cheaper and more interesting not to mention more effective.",0
great game Excellent addictive game love it<br />Only got one gripe every now and then I get an invisible enemy I can't kill and lose the level to start again but other then that it is a 5 star rating from me,1
Two Stars Not to my taste,0
Ok Ok,0
Five Stars Great Singer great album,1
"Five Stars Love the book, love Bob. Very good value from Amazon at half price. Delivery was excellent as well.",1
"Embarrassing I don't know which actor made me cringe more. Nicholson and Keaton's characters flounce around like teens in heat, hysterical (not funnily so)and gruesomely self-indulgent by turns. Not remotely believable or sympathetic. Long before the mid-way point I ceased to give a damn about them or their love-lives. And poor Keanu is a mere cipher in this sorry mess. He looks bemused most of the time -  as in, what the hell am I doing in this? kind of bemused. Barely a decent laugh in it either. Actually, two stars is probably pretty generous.",0
"Irritating I could not believe the author who is not a young girl, could write such nonsense about a young girl being so totally submissive for a guy who is nothing more than a bully.<br />I detested it. The descriptions of the sex must have been derived from text books of some kind as it was just too repetitive and boring to be true.",0
"spetacular When the film begins, which comes from Warner logo has to see the greatness of the picture quality of this film, just perfect, and the story is wonderful, David Fincher nailed this one, quality first.",1
"Same as same as!!! This was meant to be better than 50 Shades, not that that trilogy was anything special but this is less so.",0
"Wrong Wrong Wrong First off, a gripe. Any review that starts \\""""This is the first Metal record I ever bought...\\"""" and within a few sentences includes \\""""its the best metal guitar work going\\"""" needs to be disregarded. This is not heavy, but it is metal-ish. Compared to the average 13-20 year olds perception of what a metal album is, this is probably some rocking stuff, however, I am talking about a generation that dont know who pantera were, think Cannibal Corpse was a joke in Ace Ventura, and are sure they have something by At The Gates on a victory records sampler they got free at a less than jake gig. Sick. <br />As a bitter and twisted, long-suffering and experienced lover of metal, I couldnt help but think this album was a tad corny, and the whole scene of this type of band (shadows fall, all that remains etc) seem to sound a lot like In Flames, maybe thats the problem. If you have anything in your collection by At the Gates, Black Dahlia Murder, Death, Dillinger Escape Plan or suchlike, then this is probably best avoided....you heard it ten years ago. <br />Go and buy Epitaph by Necrophagist instead, now that could be the best guitar work I ever heard......",0
Five Stars Good,1
Five Stars Excellent read,1
Five Stars Arrived in excellent condition. Last studio album by Jon Anderson with YES.<br />YES back to their best,1
its good It was to to start with but then just kept on crashing... but good quality when it actually works properly. :/,0
One Star Would not play in the car on our long journey to France,0
"A let down... Disappointing! Wish they had stopped after film no 1, as the quality of the humour in this film is dire to say the least.",0
"lewis_palmer98 16 m from the UK looking for someone new to talk to and have a good time with with lots of laughs, igneous interested in talking then my kik is lewis_palmer98.<br />I'm on kik a lot so I'm quite quick at replying😀😀 x",1
"yiekkkk!!!!!!!!!!!! who'll still listen to the girl \\""""sucked band\\"""" in the next 15 years? their profile is gone! the girls are unsuccesfull!<br />you can't stop the stupid kids for buying this album. who still recognize these maids in the next 10 years? it is the same case like britney spears and Tina alguiera. pls throw away the cd from your window!!! <br />PS: That's why the Rock classic bands like Deep Purple, Uriah Heep are still going around because the most young bands cannot stay longer than 3 years nowadays.",0
Unhappy .. Only half of the film on the DVD .<br />Not happy ....,0
Great cd Enjoyed all the tracks good holiday music  all upbeat song my favourite would be tangled up if I had to choose,1
Five Stars Great product,1
"candy crush Great game, very addictive.",1
"Not great it was ok but nothing special, but i'll get the second series, it may get better, when it is released",0
"Three Stars not their best, &#34;el camino&#34; is far better.",0
One Star Very disappointed in Will Smith. This movie looks too artificial with no creativity. Don't waste your money,0
"GREAT ITEM BUT i WISH THEY WOULD COMBINE THE POSTAGE Great item, but ordered three different stories and had to pay three separate P&P which was nearly as much as the disc, even though they all came from the same company.",0
Five Stars excellent item and fast delivery,1
"very intresting I loved this game, it is the type of game that I like, I think the clues are good and when you are stuck you can normally work it out by keep referring to them I would have liked to see Alice at the end and some animals felt a bit let down",1
"Amazing One of the finest graphic novels out there, Hush is one of the definitive interpretations of the Dark Knight, defiantly up the ere with the likes of The Dark Knight Returns. Just buy this  you won't regret it!",1
The worst movie I have seen for a long time Don't believe the fabricated hype about this film. It disappoints on every level. The worst movie I have seen for a long time.,0
"Great Film, delivered in time stated Great Film , delivered in time stated , thanks  S.",1
"Five Stars wierd and fun, not to be taken seriously.",1
"WOLFMAN JACK LIVES FOREVER! Just Great, the Best with a great young and new unspoiled cast.<br />Just look at them now!<br />One of the best movies EVER, although I was just a young teenager myself back then.",1
"Five Stars FAV, ALBUM ATM",1
magic jigsaw puzzles Very entertaining easy to do and download very happy with my choice really enjoyed doing the games get more soon,1
pointless Do don't do much and after the first day it was boring. If you don't buy any more animals you will only have rabbits and hamsters to look after and that isn't much fun,0
I think Skype is really good. You can contact any one and it's really ... I think Skype is really good.<br />You can contact any one and it's really fun.<br />You can also text on it so it is really great,1
mint download Get this app now !!!!!! If you're competitive and like to challenge your friends via social networking this is the game to download.. Xxx,1
"A good read. Arrived bang on time. The perfect gift for my wife, who loves To kill a mocking bird. She says it's a good read, and that is good enough for me.",1
Sounding better.. Had the cds but this sounds much better...  Love it..,1
"An old favourite. Bought as a Christmas present (due to a &#34;hint&#34;).  Much appreciated, and enjoyed. Will no doubt be viewed many times",1
"keeps freezing The game itself is decent and good when you're bored, but the constant freezing and restarting makes it slow and difficult to play.",0
"Terrible book. Absolutely hated it Terrible book. Absolutely hated it. Can't figure out what the fuss is about. No depth to it at all, and the characters and plot lines are simply robbed from other, more successful novels.",0
"What I let down When I bought the first crossfire book I was under the impresion that is was a trilogy. Just like fifty shades and if I may say so we readers were led to belive it was a trilogy, the book in its self was ok nothing like the first two that were hot and had a story to them this book was so slow it took me quite a while to read it cos id get boared and put it down and then go back to it. There was not alot of cary in it, I thought he was a great character and wanted to find out more about him. As I say all in all in was an ok book but when I got to the end and this little bit was there from sylvia day saying yes your right there story isint finished yet I to be honest flung the book across the room we waited so long for this book it kept getting put back and back, god knowns when we will get the next book shame on you sylvia day I take it money is more importent than the fans you say you love.",0
Five Stars very good covers all birds,1
"Three Stars don't understand all the hype. only average, in my opinion.",0
"Poor Mengelberg I wanted this box primarily to replace my old LPs of the Matthew Passion and Brahms Requiem, undoubtedly great performances of their kind, with the bonus of a complete Beethoven cycle and other attractions. Alas, my hopes of cleaned-up sound with the greater sonic range of most self-respecting modern transfers of this kind of material were not realised. Both choral works have insuperable woolly sound of limited range. Others, such as the Bartok Violin Concerto and Beethoven 9th, merely (to my ears) copy rather poor existing sound, as heard in the earlier Concertgebouw issue of live Mengelberg recordings. The Schubert 9th is in tolerably ok sound. But I'm sure that, given a Ward Marston or Obert-Thorn or, indeed, any of the several fine transferors now coming on stream, much more could have been done to clarify and enhance the originals. So caveat emptor, even if you are a Mengelberg neophyte - persist only if you are in a rush to own a good cross-section of the work of this unparalleled orchestral trainer and remarkably distinctive interpreter.",0
music content This album is not up to the usual standard of the other previous ones diction on some of the tracks is difficult to hear,0
"Easy listening! I bought this album for my mum for Christmas and she loves it, and now having listened to it myself I have to agree!",1
"Too large I bought this for my 10 year old cousin, admittedly i thought it was 3 books not one but thought it would be OK. It was too large, it dwarfs game of thrones and was too intimidating for him to read so i sent him my copies so he could have the chance to read them.",0
Despicable Me Despicable Me is a total no stop action game with lots of enjoyment. It's very addictive due to the different stages. It is basically a fun game that almost all Will enjoy from younger ages up to older ages you will all enjoy.,1
"... couldn't wait to hear this after reading so many fantastic reviews. However I really couldn't wait to hear this after reading so many fantastic reviews. However, having listened to it at least 6 times, I can only assume that those reviewers have yet to listen to Page, Beck, Kossoff, Jimi etc or even the likes of Bonnamassa and Danny Bryant. Technically superb, of course, but as boring as watching paint dry. A massive disappointment.",0
"great film. fast delivery,great film.",1
Four Stars Good read couldn't put it down although slightly disappointed with the conclusion guessed who did it!,1
I was very disappoint with it I was very disappoint with it ... Poor picture getting streaks across the screen now and then...bur !! The case is even  slighty drifferent to the one I ordered in the picture on the site ! I want a refund,0
"Deletes name It was a pain in the arse to download as it took half an hour and when I started playing when I try to enter a name it just deletes it I highly recommend to avoid this game at all costs, oh and one more thing don't bother downloading any games from games loft",0
Fantastic selection All the greats - plus songs he recorded with 'Them.' A great album that led me to discover loads of great Van Morrison material that I had not previously heard. Would definitely recommend.,1
"Not classic Oldfield, but worth a listen! Well, what should we expect of someone who's pretty much done it all? This is fairly lightweight stuff, with a vocalist I had not heard of before, and it has clearly been made one song a a time, and then strung together.  Some are eminently forgettable, but we really liked Dreaming in the Wind, where Mike does a better<br />Hank Marvin than Hank can!  There are a couple of others that the kids liked too.  Overall a complete success? No.  Should have been a three or four track single, or the stronger songs saved for a future album.",0
faulty Hi<br /><br />Unfortunately i tried watching this film recently and found that it did not play. The blu ray player rejected the disc and on closer inspection i found that it had a hairline crack on the disc. When the disc arrived i was on holiday and due to work commitments and other things i did not actually get a chance to watch the film until after 28 days of delivery. I had already seen this on the big screen and on DVD so i wasn`t really that bothered about watching it urgently on blu ray. I tried to go onto your website to return it and order a new disc but it would not let me. The disc is still as new but obviously not sealed.<br />I would appreciate it if i could return this item for a replacement one.<br />Thank You,0
"Three Stars It works fine, no problems",0
Three Stars enough said,0
Five Stars Awesome,1
"Could do better This book has no literary value.  It is badly written, full of mistakes and the action is uninvolving.  The characters are without reality, the plot should be exciting and thrilling but utterly fails to convince.  It would help if someone had shot the editor at some point (or perhaps they did...) as he/she seems to have entirely given up half way through and produces such gems as 'the shell wheezed past'.  I am horrified that this author purports to teach writing, perhaps she should learn to write first.",0
Rubbish rubbish app This app is so rubbish do not get and its just a big waste of money big big big waste of money,0
Five Stars Tells the real story of Blechley  Park and  Alan Turing,1
Five Stars Nice one,1
Five Stars I'm very happy of this product. Highly recommended!!!,1
Meh Meh.,0
Three Stars Weird but well acted. Needs concentration.,0
Five Stars One of my favourite films and always admired Richard wild ark my favourite actor.,1
"Moving yet sometimes superficial exploration of adoption When a tiny baby named Asha (a name which means Hope) is adopted from an Indian orphanage by an American couple who can't have children, you'd think it could almost be a happy ending. Yet this is just the beginning of this story, which spans more than 20 years and describes everything from the birth mother's decision to give up her daughter to the daughter's return to India in search of her roots and some explanations. In The Secret Daughter, nothing is quite as it seems. Even Asha turns out to have actually been named Usha (meaning Dawn) by her birth mother Kavita, who is already traumatised by the infanticide of her first daughter and makes the long journey to the orphanage at Shanti to deliver Usha there in the hope of saving her life.<br /><br />Adoptive parents Somer and Krishnan Thakkar, both doctors, have been unable to have children and see the adoption of Asha as their much-desired chance to start a family. Yet again there is more to the story: as Asha grows up they begin to realise the sometimes vast cultural gulf between them, and the cracks in their relationship start to show. Rather than bringing them together, Asha's increasing interest in her Indian heritage sets her parents at odds with each other. Will Asha find out more about who her mother was, and why she gave her away? Will Somer ever become comfortable with her Indian in-laws and the part of her husband that will always yearn for India?<br /><br />This is really a book about lots of things (adoption, growing up, family) but it is particularly moving in its description and understanding of the mother/daughter relationship. There are some really beautifully written parts of this book, and the subject matter - unwanted female childen, infertility and adoption - comes from many different perspectives and is moving and well worth exploring. But somehow this book failed to go beyond the superficial for me. I found the writing style somewhat sterile and lacking in depth. Although it was a very interesting topic, and at times tackled very well, as a whole I did not find this book very satisfying.at times tackled very well, as a whole I did not find this book very satisfying.",0
"Not so good I know there is plenty of hype about this girl.  She can certainly sing, however I find the tracks so over produced that I can't bear to listen to it.  The second record is even worse.",0
Distant Hours I thoroughly enjoyed this book from start to finish - it was almost as good as the Forgotten Garden.  I wish there were more than three of her books as I was sorry to finish this one!,0
is it just me or? I bought this cd and I must say the glowing reviews<br />Did nudge me to this decision however now I've heard<br />It Iam to be honest dissapointed with it overall. It could<br />Be its a slow burner. In general I must say that I find<br />Ry cooders music a very hit and miss affair maybe because<br />He changes and varies his output a little too much for me<br />Of course now and then there are pearls to be found<br />For me though this is not it,0
"Great little gift idea this is brilliant for any batman fans. its smaller than i expected and when i opened it i doubted it would work. but its brilliant, it does exactly what it says on the tin! the little book it comes with is a nice added extra. great stocking filler for kids (and adults who refuse to grow up!)",1
Five Stars My girl's love it.,1
Three Stars Ok,0
"MadMen is anagram of Amen DM (doc martin boot) The faux mid century pastels colo(u)rs set against grey suits are quite unrrealistic and nauseating to my high tastes (and low spelling)<br />This is a casusal play for playsters and loveys and posseurs and actors to watch - not for class or true consumption.<br />It is ESSENCELESS - it has no grounding no wonder force, it is purely character based, a void a vacuum.<br />It is for those that can can only 'see' other people and not anything deeper - but done well within that zone.<br />What is in Wagner and Mozart and Shakespreare and the fine poets and playrights that separates these magicians from those that think they know?<br />- well it is the very thing that is missing here - that is the 'thing' of which i speak.<br />The fact that so many apparently good critics like it - tells me that 90% of them are not truly in touch with that makes genius amd are in effect amateuronions.<br />DM Amen.",0
"decent Simple to play game, fun, could do with some adjustments and added features",1
Crossy road Fantastic game,1
Great movie Great movie and quick delivery time thanks,1
not arrived still waitng for the item to arrived am hoping it will before Xmas otherwise it will be a huge disappointment for my granddaughter,0
Five Stars Superb - as always.,1
"A novel of unfulfilled good intentions. I have just finished reading this novel and I was very keen to see the reflections of other reviewers who have also read this book.  It expectedly seems to have divided opinion, although the majority of it is admittedly positive and I can see why.  On the surface this is an easy book to like, it's written in the tradition of Mark Twain and JD Salinger, two of the most successful and iconic voices of childhood and adolescence.  It takes on difficult, perhaps brave, subject matter and it is intensely focussed on maintaining the \\""""humanity\\"""" of its characters.  Donoghue lets us know that Jack and Ma are human beings who deserve our empathy and are not just two-dimensional victims requiring our default and disconnected sympathy.  Of course Donoghue has very little choice in taking this approach, anything other would be too obviously crass and exploitative, not to mention dull, yet I believe the author deserves credit for committing to her characters as people and not making them faceless sympathy sponges.<br />The story is also original enough and is full of potential, Donoghue has the bravery to not just tackle difficult subject matter but to also have this set in a single room (for a large part of the book at least) and then, to mention her most significant challenge, she attempts to tell her entire story via the first person narrative of a five year old child.  If Donoghue could make this work then she would've written a masterpiece and there are plenty of reviewers who believe that she did just that, I, for my part, am not among them.<br />This book has its moments.  Giving a child a voice is important in my view, society often struggles to recognise the emotions and psychologies of its younger members.  It's not so long ago that children were extremely marginalised and ignored as general practice by families, teachers, etc, their elder counterparts preferring to have them seen rather than heard.  Children may be ignorant of many things but that does not make their voices meaningless, Donoghue addresses this fact and, symbolically at least, helps to open up a connection between child and adult via her novel.  It's the quality of this connection that must be called into question, however.  Other reviewers have said that the child's voice just doesn't hold up as authentic and I must agree.  The character of Jack requires a gargantuan suspension of disbelief which means that we really are only left with a symbol, or an extremely distorted representation, of the reality of a five year old child.  His language is too complex and his deeds, one deed in particular, feel far beyond his years, Donoghue has created something human in Jack but she hasn't created a fully consistent and credible character, just a fusion of adult and child, with the child part actually less aparent than the adult in many instances.  I have to conclude that Donoghue fails to realise Jack in the sort of realistic form that would really make this story worthwhile and the novel fails to be anything more than a curiosity as a result of this.<br />There are compelling aspects to the novel, there are also extremely tedious parts, particularly the final third.  I understand what Donoghue was attempting towards the end of the novel, she was counting on the fact that the reader would be so deeply wedded to the characters that they would be desperate to see them negotiate the outside world successfully, for me, it was a miscalculation.  Everything Donoghue had to offer in this novel came with the first part of the narrative, namely the part set in Room.  Having the excitement of the part that follows this is fine as a short burst of interest but it undermines the psychological and otherworldy character that Room represented and the Room really is the central character of this book, more so than Jack even.  Donoghue has nothing interesting to say about the outside world, nor does she have any interesting characters to offer us in the shape of Jack's family, the fact thatshe spends so much time writing about these things demonstrates, to me at least, that Donoghue had lost focus in terms of trying to write something meaningful and instead chose to go through the motions of storytelling, hoping that the inspiration that had driven her to make this brave attempt in the first place would carry her through.  It doesn't and the novel limps to its conclusion.<br />Could Room have been something more? Perhaps, I feel that it would take an author of greater insight to find that story however.  Donoghue only scratches the surface and on this offering I'm left with the impression that that is all she is really capable of.  Unlike some reviewers, however, I wish to stress that I believe Donoghue had all the right intentions for this book, I just don't think she was up to realising them.",0
One Star Ok,0
"Leicester Bangs Review (2010): The Orb featuring David Gilmour - Metallic Spheres (Columbia)<br />The Orb, or Alex Paterson as his Mum calls him, and David Gilmour first collaborated on a cover of Graham Nash's \\""""Chicago\\"""" for a charity project. They obviously got on because producer Youth was invited to join them for Metallic Spheres, an album of two parts, and designed to be heard in just that way.<br /><br />Part one, the \\""""Metallic Side\\"""" and the second part, \\""""Spheres Side\\"""", are both beat-heavy soundscapes - there are scattered vocals - with Gilmour's guitar, though treated and manipulated, recognizable throughout. The result can be compared most readily to the Eno / Fripp collaborations of the `70s, though neither of the pieces here can compare to the glacial majesty of  \\""""Heavenly Music Corporation\\"""", or even a \\""""Swastika Girls\\"""", but it has its moments, often before the beats become overbearing. 6/10.",0
fast delivery very happy with this product,1
Dont bother Half of the story has been cut out and the main character is referred to as piercy throughout. My year 4 class were not impressed. Currently awaiting a refund.,0
Five Stars Pleased with purchase,1
Cranston is flawless Potentially the greatest television series ever created and that is all you ever need know. Buy this Blu-Ray set and watch the madness unfold. 5 STARS!,1
awesome read... Awesome read already recommending!! Very well structured and illustrated.<br /><br />I will def be purchasing more ... I found it very intriguing and wanted to read more...,1
"love it Love it or hate it you can't leave , great game real hard to put down good job it's a battle against time and you get timed out . Gives you joy but also infuriates",1
Not his best album This was an ok album but again a bit disappointed I will keep it cause I love Tupac and collect his albums if you aren't a die hard Tupac Shakur fan don't buy it it's pretty expensive to.,0
"Love this game!!! This game is hilarious! I love it, definitely worth downloading. Great for children!! Even if it wasn't free I would still buy it! I think this game is so fun. Another game called dumb ways to live copied it. Dumb ways to die has great graphics. I could play this game all day long!! Definitely get it!!! Thanks for reading my review, I don't mean to sound bossy I'm just trying to help. :-)",1
